operator_id,review_summary,is_approved
9a3c6753-6fbd-433a-87f8-bc0d68761441,,False
e026a558-44eb-4f8d-a0ad-d684fbaea57e,,False
005094e1-57e2-4300-963b-bffc7dc9587b,,False
23efe7a0-98c1-4ec5-9b62-98756f789293,,False
12bb66aa-23fe-4892-8326-e0182a265870,,False
27c03f26-ab10-442d-8c96-c2f9c6bfe8a6,,False
fd1b73e2-0eed-42df-bbb1-3de38eead012,,False
5ee889a6-8655-4aa8-b826-5038022135d5,,False
b6854840-4314-45d7-99f9-0d55ab46a385,,False
3a8ee03e-7e3b-4c37-9abb-822c4fd69ebc,,False
f6d44fb5-e6ab-4849-bf56-6fe88df7d7c7,,False
9d3df47e-411c-4c4c-ab01-ff44b80e07fa,,False
35f98729-1f1d-42fb-9239-e14354b746f7,,False
d3e791b3-e224-4ead-a0f4-e13cf30e1b08,,False
755d87a1-4bf6-4ce9-bdbe-7a372558c5e4,,False
f11ca233-79a6-4177-8067-4f5fa8767f8f,,False
4f38c47b-1875-41cd-bb95-e18ddc5824dd,,False
b8d3b9f2-552f-402c-a200-e5970006ce64,,False
690c8732-181b-4f5b-8dc9-fe286ac1e1f0,,False
057c3b4d-d9c0-4c9d-aa7a-5defc0cca08e,,False
3c61fbd8-9be4-4e59-bf8c-57da428662dc,,False
dc836d9a-f05d-4677-8205-0d9dd779b276,,False
90318fb3-9a9e-44a2-a360-30a0a578283f,,False
651e5258-9b93-497a-816c-5c36746f3674,,False
3a38c0d9-5a21-4f22-bf35-4ea35940780c,,False
7961c236-d9b2-4bc6-98ed-fa2c49e89191,,False
2182900c-fabd-4d66-b8d7-ac9a70bdd447,,False
1d1d035a-b180-46c9-b315-81c37cdd1890,,False
f4b58613-ed0d-4f88-a014-4f36462d9c30,,False
5fc102e8-01a9-48f8-9d32-e4a6b3951fa2,,False
b6656129-89d6-471e-8b8d-bd4ebc2905ac,,False
64e66d73-f417-49e9-b17b-85850c8b9722,,False
77a837d0-b121-4106-be45-bf78c7e12403,,False
e537f41a-601f-48de-84d0-ec416a61677d,,False
7773ab61-29c1-42b5-a2ff-955e85f4b8b6,,False
d68901e3-1496-4d82-a3f0-e95cf399f87c,,False
0fb4eec3-f77c-445c-afab-3a884f1a328c,,False
0443b74a-0adb-4781-9da9-6382d756b348,,False
1c212548-20cd-41c2-89ef-c0f4dc02b5fd,,False
daaf3f83-3c01-4edb-8f92-ab3fb8c27bd5,,False
a57fbb5f-e719-47ad-86de-0dc95c5453f6,,False
49e461a1-0c3f-4f95-ad17-e61e121e16de,,False
4b8b6078-794d-4221-ab7f-ba7c8ca48683,,False
2c56669e-e78e-4ec2-bfd9-baad829328cb,,False
615b90bd-bd05-4910-9c6f-e64673e2931c,,False
de302b91-7198-44e8-931c-712d9c00cd11,,False
b1691b93-54ca-4e09-a252-f5979d4c80fe,,False
c2462f24-3c89-48b5-95d4-dee3809f27c4,,False
2cde077f-a1aa-49a0-95b3-2dce49f4dce0,,False
6b5df887-3e54-4c92-b7df-7e24bcb6e6a6,,False
